83
42|3|-296|0|20
114|3|-276|0|20
184|3|-254|0|20
258|3|-228|0|20
352|3|-191|0|20
419|3|-156|3|20
470|3|-109|3|20
478|3|-41|3|20
449|3|3|3|20
392|3|10|3|20
342|3|-7|0|20
284|3|-35|0|20
222|3|-64|0|20
166|3|-83|3|20
105|3|-82|3|20
49|3|-54|3|20
8|3|-14|0|20
-26|3|39|0|20
-47|3|99|3|20
-29|3|157|4|20
36|3|170|0|20
107|3|161|0|20
176|3|147|0|20
245|3|128|0|20
305|3|112|0|20
361|3|99|3|20
417|3|107|4|20
450|3|149|3|20
464|3|210|3|20
450|3|272|3|20
399|3|297|3|20
340|3|299|4|20
295|3|309|4|20
272|3|347|3|20
257|3|390|3|20
224|3|426|3|20
171|3|431|0|20
121|3|413|0|20
75|3|381|0|20
35|3|357|0|20
-30|3|367|0|20
-71|3|379|0|20
-128|3|381|0|20
-166|3|357|0|20
-198|3|325|3|20
-225|3|297|4|20
-244|3|286|4|20
-277|3|299|3|20
-306|3|315|0|20
-355|3|334|0|20
-407|3|336|0|20
-464|3|317|0|20
-512|2|263|0|20
-515|1|203|0|20
-480|0|138|0|20
-443|-2|74|0|20
-409|-2|5|0|20
-384|-1|-70|0|20
-359|0|-129|0|20
-318|1|-182|0|20
-261|2|-217|0|20
-194|3|-236|0|20
-128|3|-231|0|20
-79|3|-207|0|20
-46|3|-168|0|20
-31|3|-114|0|20
-34|3|-74|0|20
-51|3|-28|0|20
-75|3|0|0|20
-144|4|39|0|20
-211|4|50|0|20
-274|5|44|0|20
-349|5|21|0|20
-407|6|-23|0|20
-428|7|-75|0|20
-427|8|-145|0|20
-411|9|-199|0|20
-380|9|-261|0|20
-335|8|-314|0|20
-265|5|-350|3|20
-193|4|-355|0|20
-105|3|-338|0|20
-39|3|-321|2|20
