80
-4|-14|-157|1|20
8|-14|-127|1|20
38|-14|-77|1|20
67|-14|-18|3|20
70|-14|31|3|20
39|-14|68|1|20
-13|-14|110|1|20
-79|-14|165|1|20
-114|-14|224|3|20
-150|-14|285|3|20
-193|-14|326|3|20
-248|-14|349|3|20
-284|-14|349|3|20
-309|-14|327|3|20
-314|-14|302|1|20
-315|-14|259|1|20
-308|-14|196|1|20
-288|-14|142|1|20
-264|-14|90|3|20
-252|-14|36|3|20
-263|-14|-13|3|20
-282|-14|-69|1|20
-305|-14|-137|1|20
-325|-14|-215|1|20
-324|-14|-300|3|20
-307|-14|-334|3|20
-283|-14|-343|3|20
-241|-14|-349|3|20
-199|-14|-328|3|20
-188|-14|-276|1|20
-182|-14|-218|1|20
-160|-14|-153|1|20
-135|-12|-108|1|20
-114|-7|-77|1|20
-83|-2|-31|1|20
-61|2|1|1|20
-30|7|49|1|20
-5|10|85|1|20
64|-5|176|1|20
94|-6|213|1|20
136|-8|260|1|20
194|-14|312|3|20
240|-14|319|3|20
278|-14|312|3|20
316|-14|284|3|20
327|-14|232|3|20
303|-14|177|3|20
270|-14|144|1|20
227|-14|98|1|20
202|-14|50|3|20
204|-14|7|4|20
223|-14|-21|4|20
258|-14|-50|4|20
302|-14|-86|1|20
315|-14|-135|3|20
293|-14|-165|3|20
239|-14|-178|1|20
190|-14|-181|1|20
140|-14|-189|1|20
91|-14|-206|3|20
80|-14|-227|4|20
96|-14|-248|3|20
124|-14|-260|1|20
167|-14|-269|1|20
231|-14|-276|1|20
283|-14|-282|3|20
311|-14|-295|4|20
323|-14|-314|4|20
316|-14|-343|4|20
294|-14|-357|3|20
254|-14|-363|1|20
206|-14|-360|1|20
153|-14|-355|1|20
91|-14|-349|1|20
42|-14|-340|3|20
7|-14|-326|3|20
-17|-14|-290|3|20
-18|-14|-254|1|20
-14|-14|-212|1|20
2|-14|-141|2|20
